fare_id,price,currency_type,payment_method,transfers,agency_id
470,2.55,EUR,0,0,25
471,3.50,EUR,0,0,25
472,3.30,EUR,0,0,25
473,3.05,EUR,0,0,25
474,3.00,EUR,0,0,25
475,3.20,EUR,0,0,25
476,2.85,EUR,0,0,25
477,1.90,EUR,0,0,82
478,2.50,EUR,0,0,82
479,2.40,EUR,0,0,82
480,1.20,EUR,0,0,82
481,2.00,EUR,0,0,82
482,4.00,EUR,0,0,82
483,3.20,EUR,0,0,82
484,3.10,EUR,0,0,82
485,4.30,EUR,0,0,82
486,4.90,EUR,0,0,82
487,1.70,EUR,0,0,82
488,5.50,EUR,0,0,82
489,1.30,EUR,0,0,82
490,3.00,EUR,0,0,82
491,0.90,EUR,0,0,82
492,3.70,EUR,0,0,82
493,4.10,EUR,0,0,82
494,3.60,EUR,0,0,82
495,0.90,EUR,0,0,117
496,1.60,EUR,0,0,117
497,1.60,EUR,0,0,295
498,3.00,EUR,0,0,295
499,0.90,EUR,0,0,295
500,2.30,EUR,0,0,295
501,4.25,EUR,0,0,60
502,4.30,EUR,0,0,60
503,4.50,EUR,0,0,60
504,3.70,EUR,0,0,100046
505,5.10,EUR,0,0,100046
506,4.40,EUR,0,0,100046
507,3.80,EUR,0,0,82
508,5.60,EUR,0,0,82
509,5.70,EUR,0,0,82
510,2.90,EUR,0,0,82
511,1.40,EUR,0,0,82
512,2.70,EUR,0,0,82
513,4.50,EUR,0,0,82
514,7.40,EUR,0,0,82
515,4.20,EUR,0,0,82
516,6.70,EUR,0,0,82
517,5.00,EUR,0,0,82
518,6.20,EUR,0,0,82
519,2.20,EUR,0,0,82
520,7.80,EUR,0,0,82
521,2.80,EUR,0,0,82
522,5.40,EUR,0,0,82
523,10.40,EUR,0,0,82
524,1.00,EUR,0,0,82
525,7.70,EUR,0,0,82
526,6.80,EUR,0,0,82
527,3.30,EUR,0,0,82
528,9.30,EUR,0,0,82
529,5.20,EUR,0,0,82
530,2.10,EUR,0,0,82
531,8.60,EUR,0,0,82
532,9.70,EUR,0,0,82
533,4.70,EUR,0,0,82
534,1.60,EUR,0,0,82
535,1.10,EUR,0,0,82
536,4.40,EUR,0,0,82
537,4.80,EUR,0,0,82
538,5.90,EUR,0,0,82
539,5.80,EUR,0,0,82
540,1.80,EUR,0,0,82
541,3.40,EUR,0,0,82
542,3.50,EUR,0,0,82
543,11.40,EUR,0,0,82
544,9.10,EUR,0,0,82
545,5.10,EUR,0,0,82
546,6.10,EUR,0,0,82
547,8.50,EUR,0,0,82
548,8.00,EUR,0,0,82
549,6.40,EUR,0,0,82
550,2.60,EUR,0,0,82
551,1.10,EUR,0,0,74
552,1.40,EUR,0,0,74
553,2.40,EUR,0,0,74
554,0.50,EUR,0,0,74
555,1.70,EUR,0,0,74
556,0.60,EUR,0,0,74
557,0.80,EUR,0,0,74
558,0.70,EUR,0,0,74
559,1.90,EUR,0,0,74
560,2.20,EUR,0,0,74
561,1.00,EUR,0,0,74
562,1.30,EUR,0,0,74
563,1.60,EUR,0,0,74
564,1.80,EUR,0,0,74
565,1.20,EUR,0,0,74
566,1.50,EUR,0,0,74
567,2.00,EUR,0,0,74
568,2.30,EUR,0,0,74
569,2.10,EUR,0,0,74
570,0.90,EUR,0,0,74
571,0.30,EUR,0,0,317
572,2.15,EUR,0,0,71
573,2.75,EUR,0,0,71
574,2.35,EUR,0,0,71
575,2.45,EUR,0,0,71
576,2.65,EUR,0,0,71
577,2.95,EUR,0,0,71
578,2.85,EUR,0,0,71
579,1.70,EUR,0,0,219
580,4.65,EUR,0,0,60
581,4.60,EUR,0,0,60
582,5.05,EUR,0,0,60
583,5.15,EUR,0,0,60
584,4.45,EUR,0,0,60
585,5.25,EUR,0,0,60
586,4.55,EUR,0,0,60
587,5.65,EUR,0,0,60
588,4.75,EUR,0,0,60
589,5.00,EUR,0,0,60
590,4.85,EUR,0,0,60
591,5.45,EUR,0,0,60
592,4.90,EUR,0,0,60
593,5.60,EUR,0,0,60
594,5.20,EUR,0,0,60
595,5.10,EUR,0,0,60
596,4.70,EUR,0,0,60
597,5.50,EUR,0,0,60
598,5.35,EUR,0,0,60
599,5.85,EUR,0,0,60
600,5.90,EUR,0,0,60
601,4.80,EUR,0,0,60
602,5.75,EUR,0,0,60
603,5.30,EUR,0,0,60
604,4.95,EUR,0,0,60
605,5.55,EUR,0,0,60
606,5.40,EUR,0,0,60
607,5.70,EUR,0,0,60
608,5.80,EUR,0,0,60
609,5.95,EUR,0,0,60
610,6.25,EUR,0,0,60
611,9.00,EUR,0,0,60
612,6.35,EUR,0,0,60
613,8.60,EUR,0,0,60
614,6.60,EUR,0,0,60
615,8.30,EUR,0,0,60
616,6.55,EUR,0,0,60
617,6.00,EUR,0,0,60
618,6.90,EUR,0,0,60
619,6.85,EUR,0,0,60
620,7.75,EUR,0,0,60
621,7.65,EUR,0,0,60
622,8.65,EUR,0,0,60
623,6.50,EUR,0,0,60
624,8.15,EUR,0,0,60
625,6.05,EUR,0,0,60
626,7.40,EUR,0,0,60
627,6.15,EUR,0,0,60
628,7.95,EUR,0,0,60
629,6.95,EUR,0,0,60
630,8.40,EUR,0,0,60
631,7.80,EUR,0,0,60
632,8.95,EUR,0,0,60
633,7.20,EUR,0,0,60
634,7.35,EUR,0,0,60
635,6.45,EUR,0,0,60
636,6.10,EUR,0,0,60
637,7.70,EUR,0,0,60
638,8.20,EUR,0,0,60
639,6.40,EUR,0,0,60
640,7.45,EUR,0,0,60
641,6.70,EUR,0,0,60
642,7.90,EUR,0,0,60
643,7.60,EUR,0,0,60
644,8.55,EUR,0,0,60
645,8.25,EUR,0,0,60
646,6.20,EUR,0,0,60
647,6.65,EUR,0,0,60
648,8.10,EUR,0,0,60
649,7.00,EUR,0,0,60
650,7.05,EUR,0,0,60
651,8.05,EUR,0,0,60
652,6.80,EUR,0,0,60
653,6.75,EUR,0,0,60
654,7.25,EUR,0,0,60
655,7.55,EUR,0,0,60
656,8.70,EUR,0,0,60
657,6.30,EUR,0,0,60
658,9.10,EUR,0,0,60
659,7.15,EUR,0,0,60
660,8.45,EUR,0,0,60
661,9.20,EUR,0,0,60
662,7.30,EUR,0,0,60
663,8.00,EUR,0,0,60
664,8.75,EUR,0,0,60
665,7.50,EUR,0,0,60
666,8.35,EUR,0,0,60
667,7.85,EUR,0,0,60
668,8.90,EUR,0,0,60
669,8.85,EUR,0,0,60
670,8.80,EUR,0,0,60
671,9.35,EUR,0,0,60
672,7.10,EUR,0,0,60
673,9.05,EUR,0,0,60
674,8.50,EUR,0,0,60
675,9.15,EUR,0,0,60
676,9.30,EUR,0,0,60
677,9.40,EUR,0,0,60
678,11.50,EUR,0,0,82
679,10.20,EUR,0,0,82
680,7.30,EUR,0,0,82
681,6.50,EUR,0,0,82
682,3.90,EUR,0,0,82
683,8.40,EUR,0,0,82
684,1.85,EUR,0,0,219
685,2.00,EUR,0,0,219
686,42.65,EUR,0,0,60
687,0.60,EUR,0,0,100047
688,0.50,EUR,0,0,100047
689,0.83,EUR,0,0,100047
690,0.96,EUR,0,0,100047
691,0.67,EUR,0,0,100047
692,0.30,EUR,0,0,25
693,1.00,EUR,0,0,289
694,3.10,EUR,0,0,289
695,1.80,EUR,0,0,289
696,1.10,EUR,0,0,289
697,2.80,EUR,0,0,289
698,1.90,EUR,0,0,289
699,4.30,EUR,0,0,289
700,2.20,EUR,0,0,289
701,3.40,EUR,0,0,289
702,2.10,EUR,0,0,289
703,1.40,EUR,0,0,289
704,1.60,EUR,0,0,289
705,2.30,EUR,0,0,289
706,1.70,EUR,0,0,289
707,2.60,EUR,0,0,289
708,1.30,EUR,0,0,289
709,2.50,EUR,0,0,289
710,3.70,EUR,0,0,289
711,1.50,EUR,0,0,289
712,4.00,EUR,0,0,289
713,3.80,EUR,0,0,289
714,3.50,EUR,0,0,289
715,3.20,EUR,0,0,289
716,2.00,EUR,0,0,289
717,1.20,EUR,0,0,289
718,2.90,EUR,0,0,289
719,4.10,EUR,0,0,289
720,8.70,EUR,0,0,71
721,7.20,EUR,0,0,71
722,7.60,EUR,0,0,71
723,5.50,EUR,0,0,71
724,6.00,EUR,0,0,71
725,8.40,EUR,0,0,71
726,9.20,EUR,0,0,71
727,5.80,EUR,0,0,71
728,5.70,EUR,0,0,71
729,5.60,EUR,0,0,71
730,4.90,EUR,0,0,71
731,9.40,EUR,0,0,71
732,4.20,EUR,0,0,71
733,8.80,EUR,0,0,71
734,7.10,EUR,0,0,71
735,9.00,EUR,0,0,71
736,8.20,EUR,0,0,71
737,6.20,EUR,0,0,71
738,5.40,EUR,0,0,71
739,5.00,EUR,0,0,71
740,4.30,EUR,0,0,71
741,6.50,EUR,0,0,71
742,7.90,EUR,0,0,71
743,6.30,EUR,0,0,71
744,4.60,EUR,0,0,71
745,6.60,EUR,0,0,71
746,7.50,EUR,0,0,71
747,3.90,EUR,0,0,71
748,8.60,EUR,0,0,71
749,3.70,EUR,0,0,71
750,3.80,EUR,0,0,71
751,4.10,EUR,0,0,71
752,5.20,EUR,0,0,71
753,5.90,EUR,0,0,71
754,4.50,EUR,0,0,71
755,4.00,EUR,0,0,71
756,7.80,EUR,0,0,71
757,9.80,EUR,0,0,71
758,7.30,EUR,0,0,71
759,6.80,EUR,0,0,71
760,7.00,EUR,0,0,71
761,7.40,EUR,0,0,71
762,4.40,EUR,0,0,71
763,8.50,EUR,0,0,71
764,9.50,EUR,0,0,71
765,5.30,EUR,0,0,71
766,6.10,EUR,0,0,71
767,8.10,EUR,0,0,71
768,9.70,EUR,0,0,71
769,8.90,EUR,0,0,71
770,9.30,EUR,0,0,71
771,6.90,EUR,0,0,71
772,9.10,EUR,0,0,71
773,7.70,EUR,0,0,71
774,4.70,EUR,0,0,71
775,5.00,EUR,0,0,289
776,4.40,EUR,0,0,289
777,0.00,EUR,0,0,289
778,2.70,EUR,0,0,289
779,4.90,EUR,0,0,289
780,2.40,EUR,0,0,289
781,3.00,EUR,0,0,289
782,3.30,EUR,0,0,289
783,4.80,EUR,0,0,289
784,3.60,EUR,0,0,289
785,3.90,EUR,0,0,289
786,4.20,EUR,0,0,289
787,10.50,EUR,0,0,82
788,4.60,EUR,0,0,289
789,4.70,EUR,0,0,289
790,3.35,EUR,0,0,25
791,3.45,EUR,0,0,25
792,3.60,EUR,0,0,25
793,3.55,EUR,0,0,25
794,3.80,EUR,0,0,25
795,3.85,EUR,0,0,25
796,3.65,EUR,0,0,25
797,3.75,EUR,0,0,25
798,4.05,EUR,0,0,25
799,4.15,EUR,0,0,25
800,4.25,EUR,0,0,25
801,3.95,EUR,0,0,25
802,3.70,EUR,0,0,25
803,3.90,EUR,0,0,25
804,4.35,EUR,0,0,25
805,4.30,EUR,0,0,25
806,4.20,EUR,0,0,25
807,4.10,EUR,0,0,25
808,4.40,EUR,0,0,25
809,4.45,EUR,0,0,25
810,4.60,EUR,0,0,25
811,4.00,EUR,0,0,25
812,4.55,EUR,0,0,25
813,3.71,EUR,0,0,25
814,4.65,EUR,0,0,25
815,0.00,EUR,0,0,60
816,3.15,EUR,0,0,71
817,0.52,EUR,0,0,25
818,3.00,EUR,0,0,219
819,2.90,EUR,0,0,219
820,2.75,EUR,0,0,219
821,2.95,EUR,0,0,219
822,2.30,EUR,0,0,82
823,1.50,EUR,0,0,82
824,0.44,EUR,0,0,25
825,2.20,EUR,0,0,219
826,1.77,EUR,0,0,60
827,8.30,EUR,0,0,82
828,7.10,EUR,0,0,82
829,7.00,EUR,0,0,82
830,8.90,EUR,0,0,82
831,6.60,EUR,0,0,82
832,5.30,EUR,0,0,82
833,4.60,EUR,0,0,82
834,2.00,EUR,0,0,117
835,2.66,EUR,0,0,60
836,1.34,EUR,0,0,60
837,0.10,EUR,0,0,71
838,1.07,EUR,0,0,60
839,0.80,EUR,0,0,208
840,1.00,EUR,0,0,208
841,2.00,EUR,0,0,208
842,2.20,EUR,0,0,208
843,1.70,EUR,0,0,208
844,1.60,EUR,0,0,208
845,1.10,EUR,0,0,208
846,2.10,EUR,0,0,208
847,1.30,EUR,0,0,208
848,0.90,EUR,0,0,208
